ma[GeV]	1/Fa[GeV-1]
0.136	0.00031075134763766915
0.1365	0.0005721895400263852
0.137	0.0008617624945355375
0.1375	0.0011813945608450441
0.138	0.001531989248847085
0.1385	0.001918588143414536
0.139	0.0023476813673744654
0.1395	0.0028228407797496525
0.14	0.003346888659829704
0.1405	0.003930540323966102
0.141	0.004582896962156806
0.1415	0.005317274028245098
0.142	0.006149628785506118
0.1425	0.0070975801749910234
0.143	0.008195026078509809
0.1435	0.009465228174637682
0.144	0.010974638000365472
0.1445	0.012769516380521878
0.145	0.014972815129142522
0.1455	0.017716037390150922
0.146	0.021248069906079636
0.1465	0.025977953374793843
0.147	0.03258988740122184
0.1475	0.04264376956840324
0.148	0.05928825064495858
0.1485	0.09287972738402751
0.149	0.19083381445987938
0.1495	1.
0.150	0.24767051365005688
0.1505	0.11140943326206305
0.151	0.0707539290742717
0.1515	0.05123886631581486
0.152	0.0397149661310716
