ma[GeV]	1/Fa[GeV-1]
0.152	0.0005621575112784632
0.1515	0.0004660611080598717
0.151	0.0003921265954105494
0.1505	0.00033550744595607716
0.150	0.0002877874633934985
0.1495	0.0002479518154347402
0.149	0.00022023193966334915
0.1485	0.00019250118741298677
0.148	0.00017430647161602027
0.1475	0.00015402874778338752
0.147	0.00014204991709943195
0.1465	0.00012923985913091237
0.146	0.00011974063305111496
0.1455	0.00011138340228184012
0.145	0.00010430329473938071
0.1445	0.00009893695197762179
0.144	0.00009381399812749468
0.1435	0.00009040249944576833
0.143	0.00008686575294267231
0.1425	0.00008451425424417073
0.142	0.00008215863700558083
0.1415	0.0000803898514300412
0.141	0.00007887116755819006
0.1405	0.00007755260055995324
0.14	0.00007650776490838899
0.1395	0.00007559470248910269
0.139	0.00007530144773480616
0.1385	0.00007504277529946969
0.138	0.00007437956995735171
0.1375	0.0000737780232431572
0.137	0.00007398213829672566
0.1365	0.00007522496849824505
0.136	0.00007984239991533881
