ma[MeV]	Fa[GeV]
10.786	208.2569753398376
11.686	246.6435823815428
12.64	285.9498539289078
13.671	330.95923370158414
14.786	384.3572509686121
15.993	437.7254425690268
17.297	520.1506409007443
18.708	622.8403922049828
20.234	724.5715240877727
21.884	860.9889840443387
23.67	969.8034346867968
25.6	1163.2207894280145
27.688	1369.42725364029
29.947	1621.7616947681954
32.39	1893.0047014860208
35.031	2241.8174980603985
37.889	2612.4210672934937
40.978	3198.0677874609487
44.321	3720.3383824258212
47.936	4428.450831410417
51.846	5266.721262206975
56.075	6226.719742031575
60.649	7299.166040568379
65.595	8673.570713116163
70.943	10627.353014719716
76.729	12800.836825644048
82.103	15105.430204892627
87.85	18764.57212429398
93.667	22406.276789548378
98.449	28005.059105777225
103.85	33471.14869656233
108.76	41053.298829167186
112.7	51092.837224084644
116.36	62554.75245248424
120.13	77958.5618324032
123.6	92130.26809698278
129.9	120071.55816545527
132.69	155276.74805728218
133.6	213577.537188739
135.97	284434.2924101336
138.64	88013.53686790982
144.36	48034.99878744703
145.65	18311.49852568817
148.8	25756.567096023635
153.69	35949.89484897026
162.23	44536.00096804354
175.48	48858.68357106791
189.81	51633.364406589026
205.31	53283.19045538283
222.08	56023.12538281162
240.22	59558.65485677039
259.84	62673.930895151534
281.06	65840.86065342183
304.01	69816.97282485169
328.84	73531.97837489677
355.69	78905.66292001883
384.73	85760.7526766808
416.14	94643.16212294294
446.9	106331.52510529949
482.42	124320.47072679481
506.05	150096.56263678859
767.81	10081.709815157987
722.64	9363.21144072171
668.05	9323.577705603815
616.4	10813.821683138853
593.54	15254.619639015023
583.52	18785.44638874551
575.52	26136.610339559866
564.2	34041.978672720295
556.69	48335.64719126886
546.7	65089.669828822196
542.8	87213.52400008416
519.99	18510.885640590794
516.44	13345.782882288959
514.69	10915.408045584954
509.31	8681.002059900766
503.94	7545.290849418976
495.16	5525.083084802261
462.82	3867.0436332052645
458.12	2203.4008272950978
453.33	1726.673204538817
446.99	1382.8845286119147
434.47	1139.0033684331331
416.83	892.5403773990291
390.51	697.2280735090682
370.18	617.5710920271222
342.27	505.34256180717097
316.46	420.943845626663
292.61	345.6173544901684
270.55	286.19216241000186
250.14	244.14743046346453
232.93	205.68652789755942
217.69	167.97278455294722
204.18	132.96743260149316
192.88	106.61347662184623
182.86	85.91492015936115
175.22	70.41278676428655
169.71	56.393561258731545
164.37	46.58016901541825
158.64	35.651868302980255
155.31	27.90663660164865
149.94	15.631160697676302
148.1	17.627206618360784
147.67	24.5591389476289
145.09	35.919307870936535
145.07	44.12174866849755
144.01	53.316836621659995
142.95	69.10838379009752
142.93	84.88989547432703
141.89	103.30463258802791
140.13	152.9791998465059
134.99	266.4748089102796
133.46	198.29572499283267
126.79	168.28525053537368
124.3	128.38467263347414
119.97	100.84920934261434
114.55	84.62613895023536
108.98	69.0274032880544
101.85	57.177706847665846
94.507	46.885380947292866
87.695	38.426978838229985
81.082	32.2720039630328
74.966	27.70336626482976
69.313	23.147487810092702
64.085	19.982877808917987
59.252	16.845312170369386
54.784	14.260145195397424
50.652	12.13369223538247
46.832	10.377441071155902
43.299	8.92037466917328
40.034	7.648498070712133
37.014	6.580323144018404
34.222	5.599092818431575
31.755	4.693055158147338
29.464	4.116270846902586
27.242	3.5054866398074207
25.188	2.975169535769089
23.288	2.5618504081501334
21.531	2.1853417229388703
19.908	1.8469045505347754
18.406	1.6121624179343461
17.017	1.430039852683591
15.733	1.23870584921436
14.547	1.0657310632188002
13.449	0.9270686202314696
