ma[MeV]	Fa[GeV]
30.48281858112498	0.12991440341811186
42.65588191159745	0.1827579557828447
49.26264187166662	0.22133793057317547
61.878164513659904	0.35733561419529897
76.79723473683013	0.6439299660585284
89.76270263301113	1.0823436099353223
93.05305018126089	0.37174494828489335
98.80716431349003	0.0025108223672909093
159.68017973719608	0.007347875903119963
165.53342693776705	1.1656852364451065
169.55431043009543	3.5150387372008707
191.17208608944034	2.8270838425246425
228.8747830816422	2.346410687534314
248.9309501110967	2.18713687408382
287.4866418542518	1.3023422743430708
308.94918682863994	1.113551060615429
328.0536533518598	0.9280575244356318
348.339481266198	0.7958079112747712
348.339481266198	0.3126902228891699
352.54476098616243	0.15259836252580658
