ma[MeV]	cGG/Fa[TeV^-1]
9.666856185312081 0.000037086891190332594
10.303208723475015 0.0000364000842148186
10.960059022074256 0.00003572599612208171
11.869859697506785 0.000034846590452191675
12.804025407581335 0.00003398883160579655
13.647472123466898 0.00003315218674011012
14.488591021259447 0.00003233613612842447
15.320337759891164 0.000031540172837254084
16.28617661149438 0.000030636278163039046
17.244006944260267 0.000029758287772427343
18.28243762795157 0.000028785638371466606
19.409165992860476 0.000027729355894320238
20.60533350117713 0.000026711833463316567
21.933417876932307 0.000025564231597839557
23.130907333675143 0.000024582356530587103
24.556398171968947 0.00002348439688381251
25.828328427289367 0.000022528865315342846
27.420029023427183 0.000021433406835074184
28.993964501839212 0.000020354945765546477
30.536262272530692 0.000019399698716489637
32.4611544856268 0.000018303698590446508
34.27884515250474 0.000017341502992264456
36.246441505284196 0.000016381212221969925
38.326948006479945 0.00001541910069517094
40.47307307579196 0.000014565263511022626
42.85303917176259 0.000013612527394866061
45.31275722656393 0.000012813027984321667
47.786434579269205 0.000012031891865823714
50.462187524277574 0.000011305083676647076
53.57173889582355 0.000010534298582033217
57.10008790376596 0.000009775375683696763
60.37743244754743 0.000009103482967251469
63.84295838201611 0.000008523170011535142
67.68702453419188 0.000007942056895378221
71.3820851175785 0.0000074313693300490915
75.4791661514662 0.000006920587638619834
79.81149691159274 0.000006479426087342277
84.39236427582104 0.00000602334196526857
89.23625797264582 0.000005629345974332329
94.35810583506992 0.000005242423089638217
99.77392977988254 0.000004882094647599199
106.34509079598462 0.000004498227752355483
112.00142783012495 0.000004189050226957627
119.21919319543657 0.000003839117223969454
125.72718998134079 0.0000035625355467007298
129.8015043535114 0.0000034318091120936343
135.61425817308245 0.0000032667274601447326
143.97749448590625 0.0000030622576351059626
152.24129710519415 0.0000028517789110669234
161.40773428598365 0.000002641621189227058
170.2185447052137 0.0000024382539269429895
179.98766461697144 0.00000222267158458475
190.31708596323037 0.000002008195216473344
201.2386153880524 0.0000017855755797046828
212.78558394830907 0.0000015430507071733666
223.20722614750775 0.000001314610157348379
231.354529784242 0.000001107596568291255
234.3230723403591 9.922926738462708e-7
