ma[MeV]	Fa[GeV]
124.5	408.7948079464243
122.5	333.68970654827564
120.5	274.4438393799685
118.5	238.03058189983332
116.5	210.06510665730994
114.5	188.6347395101621
112.5	170.17370998191893
110.5	155.12599131633962
108.5	142.7343810719691
106.5	132.16711830947938
104.5	122.58051294230344
102.5	114.2816360509408
100.5	107.06681238105837
98.5	100.41521305633387
96.5	94.39317437873832
94.5	88.79320558438828
92.5	83.55026171883364
90.5	78.69811729062532
88.5	74.19515812893948
86.5	69.93371845298198
84.5	65.89168305436642
82.5	62.037747853511085
80.5	58.3733185220978
78.5	54.88506897379141
76.5	51.53559618350461
74.5	48.33325774467847
72.5	45.28144642287404
70.5	42.3741392538493
68.5	39.60941225123164
66.5	36.97173696360793
64.5	34.455409438665555
62.5	32.07158393501913
60.5	29.80316563966034
55.9	24.961505084761562
50.9	20.25646850069604
45.9	16.12325802907786
40.9	12.531092699560439
35.9	9.44781188033099
30.9	6.845803704767908
25.9	4.695864222248322
20.9	2.977047389165015
15.9	1.6699454790072612
10.9	0.7548713328726929
5.9	0.20905980412059996
1	0.015848931924611134
