ma[MeV]	Fa[GeV]
1	40073.008513333894
3	40256.0798437108
5	40438.82915929668
7	40621.24411577859
9	40803.31214094988
11	41050.734913643595
13	41315.381255568456
15	41580.538666092194
17	41835.77560407267
19	42061.45783620315
21	42287.13726323934
23	42512.79876251073
25	42892.238831304945
27	43283.775640182255
29	43677.61649892565
31	44104.446351666775
33	44565.774019885976
35	45030.60791362298
37	45477.801242963855
39	45826.94159438386
41	46177.39729993154
43	46529.15303008809
45	46854.77880607901
47	47167.544218569376
49	47480.97352128227
51	47835.39163771569
53	48249.60862059392
55	48665.934664798035
57	49084.35583920791
59	49944.49431770078
61	50903.192755135075
63	51878.68876793246
65	52582.34914442078
67	53054.539802265346
69	53529.28729354033
71	53998.329217190556
73	54295.80773223954
75	54593.177082861184
77	54890.40648156846
79	55482.07896723297
81	56309.90786828337
83	57148.21160613583
85	58031.26254409567
87	59081.307851135745
89	60148.33543572722
91	61232.564222159104
93	61224.6807568176
95	60881.40692314597
97	60537.95343603961
99	59763.97831952868
101	58238.75367929502
103	56750.407564218876
105	52210.92256002048
107	47350.01524144901
109	43188.93402991705
111	37836.22726940019
113	31592.77559758088
115	25917.837340256374
117	21520.34431363455
119	16931.414656115317
121	13367.7793230816
123	8441.027228862902
