ma[MeV]	Fa[GeV]
252	1070.4099104154611
250	963.9981833591959
248	902.11720133202
246	850.9496997866962
244	806.6272047488723
242	767.0105926832954
240	731.0843816386816
238	698.8054823184387
236	669.2011095927526
234	642.7435977399167
232	618.5131572692073
230	595.2778674011267
228	575.4231521385605
226	556.3389597582589
224	537.8039597918298
222	519.0866553927384
220	499.9291028937757
218	481.42687869603947
216	463.60764742227724
214	446.7201291997738
212	430.3365867740696
210	414.4303611194126
208	399.5175763447225
206	385.03480673532664
204	370.8962905629778
202	357.1889593407721
200	343.8996098239255
198	330.8768856176876
196	318.1400248264707
194	305.9067525989282
192	293.85623796393014
190	281.97153875882134
188	270.60878679012984
186	259.5152011984417
184	248.47294753808092
182	237.55538736647713
180	226.90442771410008
178	216.1907006964657
176	205.38156179534988
174	194.8115236207694
172	184.02120662379374
170	173.1986396738143
168	162.22741614018378
166	150.8958533049019
164	139.1782638339104
162	128.85361561464566
160	114.4583470744996
158	99.91737007931481
156	84.26082825003742
154	65.96868332284866
152	44.541066268565395
150	69.43390807401217
