ma[MeV]	Fa[GeV]
153.4	1.122398790791583
156.2	1.2793078742719415
158.5	1.3473561654566195
161.3	1.5831434944115277
162.1	1.7828192504634321
162.9	2.116501997876374
163.8	2.4640365671774753
164.7	3.1966552133498793
165.7	4.242646373875192
168.2	3.7506360919486563
171.9	2.758089711518341
174.8	2.420708707051266
180.5	2.2877796162016297
183.5	2.6341821870408118
186.	2.9619148632582366
191.2	3.2595089446397525
196.3	3.041582121828103
199.2	2.7155119972753483
201.8	2.4412390044896344
205.6	2.1307449453721774
208.6	2.0014456313672917
215.3	2.076253763162659
219.9	2.3735284773786027
223.8	2.627624057114569
226.9	2.5289832179097886
229.8	2.317926053311168
234.	2.0789802946966875
234.8	1.8260017236580481
241.	1.7425905276956826
248.7	1.7788129150691323
252.4	1.9353832450018673
255.3	2.194239077493455
257.5	2.4096552426355067
261.7	2.7485130111311245
267.1	3.1672371599710467
273.5	3.080045708971844
280.1	2.8576597372049237
285.5	2.595317203953324
291.2	2.32302787147693
294.1	2.1836461991883143
296.5	1.9401268313866762
299.2	1.7254969966338176
305.7	1.484428968037063
312.8	1.4366093415712593
319.5	1.512798370197351
324.7	1.6691022608450476
327.6	1.8462314803632975
329.8	2.098268382255173
332.	2.312846595195804
334.6	2.6697192148592372
338.6	3.0097785064857945
342.	3.365883904351074
344.9	3.784255992378458
348.5	4.066641393299584
355.1	4.567638472047109
362.2	4.649466943939876
369.2	4.551878937353444
375.7	4.1481553633211785
382.1	3.8617965469240825
389.2	3.524754523904103
396.3	3.3824238743970256
403.4	3.4337783199469207
410.4	3.452499170017507
417.5	3.287258086402674
422.7	2.9674667186720294
425.9	2.665224738066545
429.1	2.3735284773786027
432.4	2.102448199749705
436.6	1.8592407450517061
442.7	1.700476363492511
449.7	1.7170753735482949
456.2	1.8440809486447616
459.7	2.0052482513128913
