ma[GeV]	1/Fa[GeV-1]
0.11	0.0036044776793282543
0.1105	0.003885616309240225
0.111	0.0040770727129095085
0.1115	0.004267314011644433
0.112	0.004355798887991929
0.1125	0.0044786531251288925
0.113	0.004525506633832971
0.1135	0.004601511382164012
0.114	0.0046317602143262126
0.1145	0.004655979415492891
0.115	0.0046695176404357545
0.1155	0.004662719332729233
0.116	0.004661271427282724
0.1165	0.004631613660032054
0.117	0.004614924397467136
0.1175	0.00456704009395247
0.118	0.004526753166311887
0.1185	0.004469923160445374
0.119	0.004408158797714884
0.1195	0.004341894271826041
0.12	0.004267047222095776
0.1205	0.004191804621998969
0.121	0.004103321401110298
0.1215	0.004016735865735408
0.122	0.003915948689406786
0.1225	0.003814731471576943
0.123	0.0037054237870821705
0.1235	0.0035918160747256734
0.124	0.0034751406505311453
0.1245	0.003354469817245579
0.125	0.0032311661599846815
0.1255	0.0031008533748483327
0.126	0.0029684204122071398
0.1265	0.002828913603151688
0.127	0.002686426286897095
0.1275	0.002539248207350242
0.128	0.0023881562486205584
0.1285	0.0022331566969254054
0.129	0.0020737263438512002
0.1295	0.0019110583332278416
0.13	0.001745933734957787
0.1305	0.0015768330765518108
0.131	0.0014007326025123864
0.1315	0.0012203496286495507
0.132	0.0010359902760398165
0.1325	0.0008478199134484978
0.133	0.0006562022601214312
0.1335	0.0004616146231765731
0.134	0.0002630140367055229
