ma[MeV]	Fa[GeV]
151	4778.1444337784305
153	5483.6597496943305
155	6405.155327364027
157	7725.354654081217
159	9335.723093379464
161	9903.117712031193
163	12058.000492596508
165	13402.507402654008
167	14463.016208434343
169	15494.457503691518
171	16550.300603943426
173	17268.33501968825
175	18016.60716231302
177	18646.06868443931
179	19150.543190283097
181	19667.57250913728
183	20133.48282304837
185	20414.823044941564
187	20698.843457074043
189	20985.522608782878
191	20991.57149663465
193	20940.71808724798
195	20888.555078450336
197	20773.890312814376
199	20563.134084901205
201	20352.971752969595
203	20138.910813637427
205	19837.751081725743
207	19539.44772325722
209	19243.959686690403
211	18833.436460291367
213	18354.90853738372
215	17886.670447758144
217	17391.43535613175
219	16842.199317112005
221	16308.219494406827
223	15822.076938387363
225	15629.515219679617
227	15437.49543393811
229	15245.988879913453
231	14833.77377489318
233	14269.688383003851
235	13724.22504965342
237	12939.932909994144
239	12172.095724738812
241	11293.947449027595
243	10441.96401676224
245	9591.003297283136
247	8705.739780939557
249	7793.854745104198
251	6294.798212205881
253	5035.964693036515
