ma[MeV]	Fa[GeV]
110	18403.37405669609
105	24615.031972944096
100	51933.645495804434
95	59071.17501053828
90	70062.25744138051
85	77498.55762040836
80	87767.98387498884
75	88549.29758481686
70	89326.03768090514
65	93505.21039682813
60	98262.28757607967
55	94492.85238102377
50	91136.53688872835
45	92037.153188998
40	92941.73961910489
35	85811.16266987723
30	80117.90599447275
25	76300.71006724497
20	72980.97938739086
15	70471.30866251113
10	68197.12743020708
5	66701.17693414149
