ma[GeV]	1/Fa[GeV^-1]
0.25802	0.000035027826465250114
0.25704000000000005	0.00003266715487845412
0.25691	0.000030660634085779815
0.25379	0.00002828529844829411
0.25067	0.000026841599264138278
0.24754	0.000027196895282809668
0.24657	0.000026801363077838234
0.245	0.000024392026468169666
0.24444	0.000022720466443869304
0.24275	0.000021391586721748743
0.23964	0.000019424534364163604
0.23683	0.000019671792213885403
0.23519	0.000019435577079097313
0.23208	0.0000185235150974246
0.22883	0.000018276674135534134
0.22569999999999998	0.000018038981547139183
0.22254	0.000018418814105736867
0.21943000000000001	0.000018353402634316382
0.21631	0.000017692764805884886
0.21317	0.00001826778237137414
0.21005000000000001	0.000017375976460130603
0.20703	0.000017046537884485588
0.20532	0.000017913041124378963
0.20447	0.000019387346344278157
0.20346	0.0000208453631192419
0.20118	0.00002139212983750993
0.19804	0.00002159295104468763
0.19491	0.000021598671727244773
0.19178	0.000021200585028333205
0.18866	0.00002088308391087186
0.18653999999999998	0.000019508457144253215
0.18527000000000002	0.000018283800007620233
0.18386000000000002	0.000017130106690573697
0.18159	0.000016234514877771773
0.17846	0.000016171089381429783
0.17533	0.00001654883411710626
0.17219	0.00001696569955477791
0.16906000000000002	0.000017112648141891176
0.16691	0.000017981504158493256
0.16491	0.000019041783935904825
0.16332	0.00002063088580965233
0.16274000000000002	0.000022224205211966102
0.16219999999999998	0.000023874081303350722
0.16116999999999998	0.00002672845567647435
0.16025	0.000029029868820100485
0.15953	0.00003070363928262362
0.15922	0.000031394924744330676
0.15891999999999998	0.000032048660804561754
0.15862	0.00003268831336750514
0.15818000000000002	0.00003360268443360001
0.15802000000000002	0.000033928560664818965
0.15758000000000003	0.000034807627071002675
0.15742	0.00003512134321587844
0.15705000000000002	0.00003583532112116977
0.15653	0.000036813132670457744
0.15624000000000002	0.00003734623152894214
0.15536000000000003	0.00003891466572335284
0.15521000000000001	0.00003917507441558557
0.15417	0.00004092995430423449
0.15402	0.000041176170109650534
0.15386	0.000041436991063214474
