ma[GeV]	1/Fa[GeV-1]
0.11	0.024678383883300223
0.1105	0.024209931974603725
0.111	0.023668367926226626
0.1115	0.02319681812352119
0.112	0.02254373170221267
0.1125	0.022014433233064328
0.113	0.021336647422737335
0.1135	0.020763412114917862
0.114	0.020106612315334543
0.1145	0.01946305733864339
0.115	0.018819864697920775
0.1155	0.01815235631540046
0.116	0.017523199237017416
0.1165	0.01684997078039589
0.117	0.016232085808962064
0.1175	0.015563670701072401
0.118	0.014936719001322795
0.1185	0.014294644379250864
0.119	0.013664474760092141
0.1195	0.013046978203725726
0.12	0.01243315207269537
0.1205	0.011840656895308714
0.121	0.01124221034236309
0.1215	0.010669576554790753
0.122	0.010089834945233835
0.1225	0.00953099193707973
0.123	0.008977908821290277
0.1235	0.008438092002475469
0.124	0.007913762293670181
0.1245	0.007403109760327554
0.125	0.006908468747825671
0.1255	0.006422245721466052
0.126	0.00595288680038155
0.1265	0.005492194468075959
0.127	0.00504698975037303
0.1275	0.004614565709820723
0.128	0.004196203655483107
0.1285	0.00379195464319562
0.129	0.003401134580661616
0.1295	0.003025501229029717
0.13	0.002666090592632146
0.1305	0.0023208626862747357
0.131	0.0019861365582223116
0.1315	0.0016656847354194313
0.132	0.0013600432963678593
0.1325	0.0010695641275171896
0.133	0.0007948261360321475
0.1335	0.0005365370147615645
0.134	0.00029403965444525743
