ma[GeV]	1/Fa[GeV^-1]
11/100	0.00002850555981077143
109/1000	0.000028047198868120364
27/250	0.000027583053069550836
27/250	0.000027583053069550836
107/1000	0.00002711279277838257
107/1000	0.00002711279277838257
53/500	0.000026636061613029776
53/500	0.000026636061613029776
21/200	0.00002615247312491469
21/200	0.00002615247312491469
13/125	0.000025661606953098103
103/1000	0.00002516300434405203
103/1000	0.00002516300434405203
51/500	0.00002465616289808332
51/500	0.00002465616289808332
101/1000	0.00002414053036846592
101/1000	0.00002414053036846592
1/10	0.000023615497292436102
99/1000	0.00002308038817066028
97/1000	0.000021997242798753165
19/200	0.000021001907223575534
23/250	0.00001962048575162564
89/1000	0.000018593371780271035
43/500	0.00001815278235311268
83/1000	0.00001791940205093024
81/1000	0.000018066016689636397
79/1000	0.00001765582022208338
19/250	0.00001753118510067679
73/1000	0.000017506884107307344
7/100	0.00001753394371712851
67/1000	0.000017739969733846165
63/1000	0.000018136567330709196
3/50	0.000018428569450979996
57/1000	0.00001864581700185038
27/500	0.00001884671378615233
51/1000	0.000019051217292149935
6/125	0.000019443480806556844
9/200	0.00001997700503491204
21/500	0.000020536448836915007
19/500	0.000021630424918486283
7/200	0.000022796794937914014
4/125	0.00002400650446267278
29/1000	0.000025323460540998263
13/500	0.000026348300067367153
23/1000	0.000027404706703175618
1/50	0.0000284507572145535
17/1000	0.000029274133953850746
7/500	0.000030020039496526598
1/100	0.0000309682338491833
7/1000	0.000031327033534387886
