ma[GeV]	1/Fa[GeV-1]
0.134	0.00008284552815694924
0.1335	0.00007732788185450759
0.133	0.0000757727210232866
0.1325	0.00007508033144457187
0.132	0.00007469473256688931
0.1315	0.00007446281242155224
0.131	0.0000743280851075935
0.1305	0.00007433413756606444
0.13	0.0000750964661972635
0.1295	0.00007586135689415579
0.129	0.00007635055762342939
0.1285	0.00007679762104328394
0.128	0.00007747596017006242
0.1275	0.00007830157541664346
0.127	0.00007929896920517996
0.1265	0.00008062673325672046
0.126	0.00008200232666493746
0.1255	0.0000841514777766742
0.125	0.00008624313991774247
0.1245	0.00008912911565922953
0.124	0.00009209814755710763
0.1235	0.00009540847587156251
0.123	0.00009893402250038454
0.1225	0.00010291292420849276
0.122	0.0001080313516630248
0.1215	0.00011302087751086403
0.121	0.00012034922568502789
0.1205	0.00012724294121395377
0.12	0.0001365385830213072
0.1195	0.00014594859595349363
0.119	0.00015714148144295264
0.1185	0.0001694366019728881
0.118	0.00018303103875665184
0.1175	0.0002007416797802036
0.117	0.0002171977969394231
0.1165	0.00024207350025950134
0.116	0.0002645843392007245
0.1155	0.0002959993122664057
0.115	0.0003273582181747736
0.1145	0.00036666819708562924
0.114	0.00041164680713322765
0.1135	0.0004610829467463998
0.113	0.0005306780644704672
0.1125	0.0005920959299691008
0.112	0.0006887259005574087
0.1115	0.0007740754132850557
0.111	0.0009086720002102653
0.1105	0.0010450168539439077
0.11	0.0012166782981441317
