Majorana_obs,
X,Y
0.3594805194805195,0.015189944811139706
0.37194805194805197,0.012283925554830712
0.39688311688311695,0.009673659084960321
0.43740259740259746,0.006850698748055961
0.44987012987012986,0.006326343044723141
0.46857142857142864,0.005689095546537034
0.4903896103896104,0.0052536494984271875
0.5090909090909091,0.004982030019312097
0.5402597402597403,0.004480194101902772
0.5620779220779221,0.004137277938783287
0.5807792207792208,0.0038206087400260527
0.5994805194805195,0.003435761863415345
0.6462337662337663,0.002778459268882223
0.68987012987013,0.0022469065714477614
0.7116883116883118,0.002020577461377242
0.7366233766233767,0.001769451310244629
0.7584415584415586,0.0015912158885097861
0.7958441558441559,0.0013934526602541603
0.8176623376623378,0.001286797138445393
0.8457142857142858,0.001188305080424644
0.8644155844155845,0.0010973516508351667
0.8831168831168832,0.0010406173590071402
0.901818181818182,0.0009868162927014683
0.9236363636363637,0.0009357968009203547
0.9423376623376625,0.0008874150731900121
0.9672727272727274,0.0008641704737719832
0.9859740259740262,0.0008415347341969146
1.0015584415584415,0.000798026459381807
1.038961038961039,0.0007771232699570021
1.0545454545454547,0.0007771232699570021
1.0732467532467533,0.0007369451389535673
1.0825974025974026,0.0007176418894758879
1.0981818181818184,0.0006988442616797995
1.1106493506493507,0.0006805390115109672
1.1262337662337663,0.0006805390115109672
1.1574025974025974,0.0006805390115109672
1.176103896103896,0.0006805390115109672
1.197922077922078,0.0006627132418245798
1.229090909090909,0.0006627132418245798
1.247792207792208,0.0006805390115109672
1.2727272727272727,0.0006988442616797995
1.2914285714285716,0.0006988442616797995
1.3038961038961039,0.0007176418894758879
1.3225974025974025,0.0007567676104079196
1.3412987012987014,0.0007771232699570021
1.356883116883117,0.0008194919062309125
1.3724675324675324,0.0008641704737719832
1.3818181818181818,0.0008874150731900121
1.3911688311688313,0.0009112849096631177
1.4005194805194805,0.0009357968009203547
1.416103896103896,0.0009868162927014683
1.4254545454545455,0.001013359839512214
1.434805194805195,0.0010973516508351667
1.4441558441558442,0.0011571790871714672
1.4503896103896106,0.001188305080424644
1.4566233766233767,0.0012202683057594736
1.465974025974026,0.0012530912831820742
1.4722077922077923,0.001286797138445393
1.4753246753246754,0.001321409619342679
1.4784415584415584,0.0013934526602541603
1.4815584415584415,0.0014694234762232753
1.4877922077922079,0.0015912158885097861
1.490909090909091,0.0017231030025147494
1.4971428571428573,0.0018659215124202722
1.5033766233766235,0.002020577461377242
1.5064935064935066,0.002188051989459095
1.5127272727272727,0.002498587278794041
1.5158441558441558,0.0027056814057878796
1.518961038961039,0.0028531947228981136
1.5220779220779221,0.0030896803062903503
1.5251948051948052,0.0038206087400260527
1.5251948051948052,0.004028907716918153
1.5251948051948052,0.004137277938783287
1.518961038961039,0.004851532695583731
1.5158441558441558,0.005394963026000788
1.5127272727272727,0.005842121773472257
1.5064935064935066,0.006671254254782116
1.4971428571428573,0.007822971677640256
1.490909090909091,0.008699239107001943
1.4815584415584415,0.009933862756760163
1.4722077922077923,0.011343708117037355
1.4628571428571429,0.012283925554830712
1.4503896103896106,0.013659873763766157
1.437922077922078,0.015189944811139706
1.4285714285714286,0.01644895560753898
1.416103896103896,0.017812318869016824
1.4036363636363638,0.019807513982778545
1.3911688311688313,0.022026195076734714
1.3755844155844155,0.02449339528323365
1.3631168831168832,0.02652351780740843
1.3506493506493507,0.02949447254487175
1.335064935064935,0.0319391067966607
1.3288311688311687,0.03368042178630985
1.3132467532467533,0.03745303631626677
1.2976623376623377,0.041648229294971834
1.282077922077922,0.0451002214506529
1.2696103896103896,0.04883833020827845
1.2571428571428571,0.054308813782729365
1.2446753246753248,0.058810171999775056
1.232207792207792,0.06368462298734648
1.2228571428571429,0.06715669843779763
1.2041558441558442,0.07467906077392943
1.1885714285714286,0.08304401865797174
1.176103896103896,0.08992707961485512
1.1542857142857144,0.10268981643362211
1.1075324675324676,0.14120689641630244
1.0825974025974026,0.16124742774095646
1.0545454545454547,0.19939387595524383
1.0233766233766235,0.24010624627461125
1.010909090909091,0.26700104940909
1.0015584415584415,0.29690839572753536
0.9922077922077924,0.33904657846606245
0.9797402597402598,0.36714828048528003
0.9703896103896105,0.40827332774257064
0.9579220779220781,0.4540048776087767
0.9423376623376625,0.5048589140815142
0.9267532467532468,0.5765100950008429
0.9111688311688313,0.6242938389751423
0.901818181818182,0.6942222983876529
0.8924675324675326,0.7517625580553641
0.876883116883117,0.8140720126773676
