El_Mixing,
X,Y
0.1432806324110672,2.1761876187102383e-2
0.1432806324110672,2.1761876187102383e-9
0.14960474308300398,8.196200342104921e-10
0.15909090909090912,2.5149164419703406e-9
0.16304347826086957,2.5149164419703406e-9
0.16699604743083007,2.2158978607714056e-9
0.17173913043478262,2.2158978607714056e-9
0.17490118577075103,1.1146035420507614e-9
0.17885375494071148,1.8493355013135109e-9
0.18280632411067194,1.488589218277297e-9
0.18675889328063244,1.6894630238426647e-9
0.1899209486166008,1.384717741399275e-9
0.19308300395256922,1.6002523796165286e-9
0.19624505928853758,8.811019816767127e-10
0.20335968379446645,4.43197047603503e-10
0.2065217391304348,4.851364147326975e-10
0.20889328063241108,5.919040463670636e-10
0.2120553359683795,1.3115989101267098e-9
0.21521739130434786,1.6294531749924315e-9
0.21758893280632413,1.6591868153504426e-9
0.2207509881422925,1.000000000000004e-9
0.22312252964426882,6.840353310894857e-10
0.22628458498023718,6.027048857598321e-10
0.2286561264822135,5.708795718121018e-10
0.23102766798418972,6.597383466349019e-10
0.23339920948616605,6.137028147523497e-10
0.2365612648221344,8.196200342104921e-10
0.2381422924901186,8.345761481396628e-10
0.24130434782608695,1.0557478591267715e-9
0.24367588932806328,8.049319429708759e-10
0.24604743083003955,7.221688363647968e-10
0.24841897233201582,4.939889990853024e-10
0.25079051383399215,5.215278282164825e-10
0.2523715415019763,5.030031220223941e-10
0.2547430830039526,9.82079389684805e-10
0.25711462450592887,6.717770004792029e-10
0.2610671936758894,1.1349424025775493e-9
0.26343873517786565,1.0946291663177249e-9
0.26739130434782615,4.939889990853024e-10
0.26897233201581033,4.939889990853024e-10
0.2713438735177866,5.708795718121018e-10
0.2737154150197629,5.919040463670636e-10
0.27529644268774706,9.82079389684805e-10
0.27687747035573124,8.345761481396628e-10
0.27924901185770756,7.905070712906357e-10
0.28162055335968383,8.196200342104921e-10
0.283201581027668,5.606490614687472e-10
0.2847826086956522,9.471958587035379e-10
0.28636363636363643,5.407347662388696e-10
0.2879446640316206,8.498051755342513e-10
0.2895256916996048,6.717770004792029e-10
0.29189723320158106,7.763407021146271e-10
0.2950592885375494,5.8129676460813e-10
0.29743083003952575,7.905070712906357e-10
0.3005928853754941,5.708795718121018e-10
0.3037549407114625,9.82079389684805e-10
0.3045454545454546,1.0368282131522552e-9
0.308498023715415,4.939889990853024e-10
0.31007905138339925,5.215278282164825e-10
0.31166007905138343,9.471958587035379e-10
0.3124505928853755,1.0368282131522552e-9
0.31640316205533603,5.310444692092227e-10
0.32193675889328066,1.2880942571684894e-9
0.32351778656126484,1.176740303295203e-9
0.32588932806324117,4.764424740945601e-10
0.32747035573122535,5.030031220223941e-10
0.32905138339920953,4.2745465640451537e-10
0.3306324110671937,4.764424740945601e-10
0.33300395256917004,1.0368282131522552e-9
0.3345849802371542,7.763407021146271e-10
0.3361660079051384,7.624282029202029e-10
0.3369565217391305,7.905070712906357e-10
0.33853754940711467,7.221688363647968e-10
0.34090909090909094,3.632531793187708e-10
0.34565217391304354,2.137189008422571e-9
0.349604743083004,3.440719071116319e-10
0.35197628458498026,5.12181731238483e-10
0.3535573122529645,4.764424740945601e-10
0.3543478260869566,5.030031220223941e-10
0.35750988142292495,2.703567224178338e-9
0.3598814229249012,1.488589218277297e-9
0.36146245059288545,1.3355324670316809e-9
0.3622529644268775,9.135513932667733e-10
0.36304347826086963,9.82079389684805e-10
0.36462450592885376,8.345761481396628e-10
0.366205533596838,7.763407021146271e-10
0.36857707509881427,1.7836469704957278e-9
0.3717391304347826,1.7836469704957278e-9
0.3725296442687747,2.098889277032704e-9
0.37332015810276686,1.0368282131522552e-9
0.3756916996047431,8.653120964151348e-10
0.3788537549407115,1.91744322334591e-9
0.3796442687747036,1.7516829281975887e-9
0.3804347826086957,2.2158978607714056e-9
0.3843873517786562,6.249014297604983e-10
0.38675889328063245,1.4099855428629927e-9
0.3883399209486167,8.498051755342513e-10
0.3907114624505929,2.1761876187102383e-9
0.3938735177865613,8.049319429708759e-10
0.3946640316205534,1.6002523796165286e-9
0.3970355731225297,5.708795718121018e-10
0.40019762845849804,2.6075363207553247e-9
0.4017786561264823,1.000000000000004e-9
0.40256916996047437,9.302215308275416e-10
0.4033596837944664,1.1556523988776606e-9
0.40494071146245064,7.353466979859717e-10
0.4065217391304349,2.1761876187102383e-9
0.4073122529644269,1.952431996318866e-9
0.408102766798419,2.752900888232721e-9
0.40889328063241115,2.2158978607714056e-9
0.40968379446640324,2.098889277032704e-9
0.4104743083003953,1.3115989101267098e-9
0.4120553359683795,9.82079389684805e-10
0.4128458498023716,1.3115989101267098e-9
0.41363636363636375,1.952431996318866e-9
0.41521739130434787,1.7516829281975887e-9
0.41600790513833996,2.098889277032704e-9
0.41758893280632414,1.7836469704957278e-9
0.41996047430830047,2.560807678468341e-9
0.42075098814229256,1.176740303295203e-9
0.42312252964426883,1.7836469704957278e-9
0.42470355731225296,5.8834695196077055e-9
0.4254940711462451,3.4200417964184948e-9
0.4262845849802372,2.2158978607714056e-9
0.4278656126482214,3.239449426160593e-9
0.42865612648221346,1.7836469704957278e-9
0.4302371541501977,3.1813965153585874e-9
0.4318181818181818,2.6075363207553247e-9
0.43260869565217397,4.1727162022252185e-9
0.43339920948616606,3.7436775003853355e-9
0.43418972332015815,4.999802847860623e-9
0.4365612648221344,1.6894630238426647e-9
0.43735177865612657,3.610701804692889e-9
0.43814229249011866,2.9594035366862594e-9
0.4389328063241107,6.557735966102414e-9
0.4405138339920949,3.7436775003853355e-9
0.44209486166007916,5.8834695196077055e-9
0.4436758893280633,2.297505419511521e-9
0.4444664031620554,1.0880509053506432e-8
0.44683794466403165,3.811990700249672e-9
0.4484189723320159,1.3037167522412457e-8
0.449209486166008,9.246312906117008e-9
0.45079051383399216,1.741156050431278e-8
0.45237154150197634,4.024501020799754e-9
0.4539525691699605,1.1079052434853114e-8
0.45553359683794475,8.601119346038617e-9
0.45632411067193684,9.939904205282543e-9
0.4571146245059289,6.677399032075322e-9
0.45790513833992097,3.9286273675473e-8
0.46027667984189724,2.6873199220874256e-8
0.4618577075098815,4.04883280329899e-7
0.4618577075098815,4.04883280329899e-2
