CMS2022,
X,Y
1.081967213114754,0.00019525325860315104
2.0655737704918034,0.000019815660230656793
3.0819672131147544,0.000005936141893899122
4.0983606557377055,0.000002448436746822229
5.147540983606557,0.0000014251026703029963
7.147540983606557,6.17445017755824e-7
9.213114754098362,3.7750532053243995e-7
11.049180327868854,3.421275396048092e-7
13.081967213114757,3.506483461526122e-7
15.147540983606559,5.197709053451254e-7
16.098360655737707,7.334738170816785e-7
16.59016393442623,0.0000010872384088917522
16.59016393442623,0.000002218982341458974
16.13114754098361,0.000003907332249688372
15.114754098360658,0.000008799225435691075
13.901639344262296,0.000019334136763356823
12.032786885245903,0.00006454001467678527
11.114754098360656,0.00012852107780323267
9.147540983606559,0.0004290210806524147
7.901639344262296,0.001205581517251052
6.524590163934427,0.004227351651762383
5.049180327868852,0.019913394573407336
