NuTeV,
X,Y
0.2115535120566352,0.000005911388436517023
0.3482440093253183,9.588157509999126e-8
0.3494685068783481,9.290445279348659e-8
0.3519304338793723,9.001977011595783e-8
0.35316789365924584,8.814658257473112e-8
0.35565588200778464,8.631237348857161e-8
0.3581613976744449,8.540963173770412e-8
0.3606845641352391,8.451633176946664e-8
0.3632255057360407,8.363237483218501e-8
0.36578434769871154,8.363237483218501e-8
0.3696564499165145,8.451633176946664e-8
0.3735695412462886,8.540963173770412e-8
0.3762012546117354,8.631237348857161e-8
0.37752405558858854,8.814658257473112e-8
0.37885150780570986,9.097123897531007e-8
0.38018362761781654,9.388641146339095e-8
0.38018362761781654,9.791913760853466e-8
0.3815204314371325,1.0320449904927872e-7
0.3815204314371325,1.1832032686033751e-7
0.3815204314371325,1.3423132627975076e-7
0.38827528912068265,9.895409926250416e-7
0.4238864244018041,7.934935099884606e-7
0.44680226034457654,6.994374120071122e-7
0.47261293685369116,6.165301759334115e-7
0.49467809378651195,5.549990470707674e-7
0.526940650191109,4.840960141478959e-7
0.5613073477712179,4.312242706791532e-7
0.5979154171303578,3.8412704543763663e-7
0.6214526502388119,3.606430984217455e-7
0.6760727170266685,3.1789456655039273e-7
0.6977710107348124,3.016143878784801e-7
0.7201657028302715,2.8919262582608387e-7
0.7432791439513202,2.743823455808508e-7
0.7725386913297755,2.576077379549404e-7
0.797333023364206,2.4185866081790876e-7
0.8229231199447142,2.2947247172951837e-7
0.8463585501127108,2.1544346900318867e-7
0.8704613808845396,2.0227214177933644e-7
0.8983985039607317,1.879198264737579e-7
0.9207458111789639,1.7458588647591397e-7
0.9469670627605326,1.6219806248510524e-7
0.9842448847795681,1.4601032298162937e-7
1.0265872103149436,1.3006344443923655e-7
1.0669993184209845,1.1708281368909728e-7
1.1051164522337995,1.0763746730448541e-7
1.148619902392443,9.689500062613703e-8
1.2107157462991547,8.540963173770412e-8
1.2942125456874907,7.449825817230678e-8
1.3546362046654514,6.848830819488149e-8
1.3981127324061164,6.498085002581292e-8
1.4278695503005738,6.296319503938047e-8
1.4582596992495878,6.165301759334103e-8
1.4840783341703518,6.100818822764358e-8
1.510354090624073,6.100818822764358e-8
1.5370950619935573,6.100818822764358e-8
1.5588283239961702,6.165301759334103e-8
1.5808688764773957,6.296319503938047e-8
1.6032210642722744,6.430121483616162e-8
1.6431005537238723,6.706316074710333e-8
1.672191814599101,6.921219909566037e-8
1.7017981391795851,7.218508772251769e-8
1.7198129514328373,7.449825817230678e-8
1.7441296943547098,7.769820019603909e-8
1.768790256053987,8.189210019721276e-8
1.7812509854325114,8.540963173770412e-8
1.8001068657744392,9.001977011595783e-8
1.812788213622249,9.487874899889744e-8
1.825558898712361,1.0212508243259302e-7
1.8319779392256954,1.0651168624012573e-7
1.838419550405547,1.1585824367724164e-7
1.8448838116150217,1.2735700313885578e-7
1.8448838116150217,1.385327678542196e-7
1.8513708024962825,1.6219806248510524e-7
1.8644132932439823,0.000005911388436517023
