Default Dataset,
X,Y
0.24830043226351672,0.0000984719138633439
0.25307660974082435,0.00008822159851578276
0.257852787218132,0.00007903827740650014
0.2626095097973651,0.00006952609231755772
0.26734677747852365,0.00006004902847722766
0.27210350005775674,0.00005282218229548652
0.28167530991044654,0.00004318109160487605
0.2913054844573606,0.00003729301218039391
0.29606220703659347,0.00003280483194640867
0.3056923815835071,0.000028331636646606853
0.31534201102849546,0.000024920554357536294
0.3249916404734834,0.00002192016074586003
0.33462181502039723,0.000018931175459196582
0.3393785375996303,0.00001665282564151302
0.34900871214654416,0.000014382082675667979
0.3586972513876814,0.0000131223674852747
0.36834688083266953,0.000011542456099355638
0.3828505073472639,0.00000978713478402387
0.3973930436580073,0.000008608297869177596
0.41678957703835673,0.000007298780540642887
0.43616665552063116,0.000006076187055143361
0.45554373400290626,0.0000050583859760550975
0.47495972228133,0.000004368146280223897
0.48948280369399866,0.0000037723041465985167
0.5137527890420288,0.0000031402426805281486
0.5331882322185271,0.000002761853323835368
0.5526042204969515,0.0000023849859184616833
0.5769325705392048,0.0000020974851704164514
0.6012609205814583,0.0000018446415159358984
0.6304627225913924,0.0000015927534347543422
0.6596645246013269,0.0000013752609826926994
0.6888857815093357,0.0000012094109127612666
0.7180875835192697,0.0000010442643563470779
0.7521822923949586,9.016182783714157e-7
0.7814035493029674,7.928873128301845e-7
0.8154788032805824,6.721582477186581e-7
0.8447000601885912,5.910990932803048e-7
0.8836682210319606,5.010672729799502e-7
0.9177629299076504,4.3262169130504193e-7
0.9664779946863813,3.535013031582976e-7
1.0152125143631865,2.941886660483869e-7
1.0639664889380664,2.4935210826025317e-7
1.1175939154806274,2.0750264825924248e-7
1.1614938929859016,1.8244814370978863e-7
1.2151602293246115,1.5749052383015887e-7
1.2688460205613954,1.3845912908350562e-7
1.3127654529647448,1.2399083662826303e-7
1.3616167020299972,1.1516954361075639e-7
1.4007015922618147,1.0896487577912874e-7
1.4349130305259512,1.050054688882422e-7
1.4593775648547267,1.0497607373088979e-7
1.4789491923177474,1.0495256352989741e-7
1.5132092678270708,1.0587633889461056e-7
1.547488798234468,1.0878198251281801e-7
1.5768948766741853,1.1383912045736296e-7
1.6063204100119768,1.2133281774939116e-7
1.6357751256968809,1.3292091422392106e-7
1.6603563894141036,1.483149275974348e-7
1.6751323845017418,1.6250729305521285e-7
1.6849960178255505,1.748368516004433e-7
1.6948985609455083,1.9511806372123178e-7
1.704762194269317,2.0992182756871383e-7
1.7097523756254447,2.300351635078976e-7
1.7147425569815733,2.520756276894751e-7
1.7197327383377015,2.7622786493188173e-7
1.7247423745919035,3.08287776548094e-7
1.7297325559480317,3.378258940819951e-7
1.7347811019983836,3.9109848435753447e-7
1.7422761014816122,4.5275908303797576e-7
1.7522370092957942,5.338118872935092e-7
1.7573633749384439,6.649518477514044e-7
1.7602183812308876,9.767288575907285e-7
1.765364201771612,0.0000012391622233836367
1.767985749287161,0.0000014611194170490255
1.770996394764201,0.0000024847748975318107
1.7741237696296885,0.0000047163011379828465
1.7720664141583027,0.0000068023265750804084
1.7723387827313466,0.000008789984970771852
1.7725916964063162,0.000011152355302725735
1.773058613960106,0.00001730689453864713
1.773311527635075,0.000021958244265899793
1.7687298991385132,0.00002943452040273641
1.7641482706419513,0.00003945629627067096
1.7619741857821174,0.00005098696126249341
1.757295282795183,0.00006236738481205278
1.7525969249101736,0.00007490378229316514
1.750345020458042,0.00008995758819857583
1.7480152964136113,0.00010040679397916106
