Default Dataset,
X,Y
0.22068965517241357,0.00010093694432882145
0.22368965517241357,0.00008183403773932199
0.23448275862068968,0.00005105294224257365
0.2413793103448274,0.00003826353858393546
0.24827586206896557,0.0000302223707394612
0.26206896551724146,0.000023255811463379493
0.2758620689655171,0.000019874332603648636
0.289655172413793,0.000016544897756180583
0.31034482758620685,0.000014140808343094763
0.3310344827586207,0.000011773209248773116
0.35862068965517224,0.000009302197140584876
0.3793103448275861,0.000007744727935791866
0.4137931034482758,0.000006119922678293622
0.4482758620689655,0.000004710816445891315
0.4758620689655171,0.000003820994217843471
0.5034482758620689,0.000003099249775594006
0.5241379310344829,0.0000027192945265199095
0.5586206896551724,0.0000021488001101884223
0.6000000000000001,0.0000016542279627750067
0.6344827586206896,0.0000013419138907625683
0.682758620689655,0.0000010331730791260885
0.7241379310344827,8.382073504048773e-7
0.7758620689655169,6.625428414113877e-7
0.827586206896552,5.101371426015769e-7
0.8689655172413793,4.2486881005143204e-7
0.9103448275862069,3.538528969561878e-7
0.9448275862068964,3.1054218978816625e-7
0.9793103448275864,2.654782493465757e-7
1.0275862068965518,2.2112912272844335e-7
1.068965517241379,1.992426975443496e-7
1.1241379310344826,1.659772266739208e-7
1.2000000000000002,1.347324946140852e-7
1.2689655172413796,1.1524607645077391e-7
1.3517241379310345,9.60480629122738e-8
1.4275862068965517,8.659055920470025e-8
1.4827586206896552,8.442552399897034e-8
1.531034482758621,8.449235482495558e-8
1.5724137931034479,8.679635599782569e-8
1.613793103448276,8.916318441010206e-8
1.6413793103448273,9.400717133257824e-8
1.6758620689655168,1.0446349105465093e-7
1.6965517241379313,1.1012625152358038e-7
1.7103448275862068,1.1608285632506168e-7
1.737931034482758,1.2898005072447742e-7
1.7586206896551726,1.4710161131047003e-7
1.772413793103448,1.6340814577240458e-7
1.786206896551724,1.912973779597727e-7
1.793103448275862,2.181251376280162e-7
1.8068965517241375,2.6213834628952976e-7
1.8137931034482757,3.233670920882018e-7
1.827586206896552,3.989423851721597e-7
1.8344827586206898,5.324073111485838e-7
1.8482758620689652,6.742918196885805e-7
1.8482758620689652,8.764822135351065e-7
1.8551724137931034,0.0000016023271735422774
1.8620689655172415,0.0000026375530395841296
1.8689655172413797,0.000004229233699227332
1.8689655172413797,0.000007530627400479269
1.8689655172413797,0.000010048839233200582
1.8689655172413797,0.0000152879144735024
1.8620689655172415,0.000020939842527442243
1.8551724137931034,0.000031028954544798986
1.8482758620689652,0.000045979143294961876
1.8344827586206898,0.000056699452151473333
1.827586206896552,0.0000646364324679372
1.8137931034482757,0.00007563386993251039
1.8068965517241375,0.00008398956194359346
1.8000000000000003,0.0000932683534740637
1.7965517241379314,0.00009958262444231517
