TRIUMF,,KEK,,PS191,,CHARM,,DELPHI,,CMS,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.049661149911332365,1.169989106589069e-7,,,,,,,6.829384292696503,0.0000180169726043715,,
0.05262280624108283,1.5876602653574566e-7,,,,,,,8.125559026052082,0.0000180169726043715,,
0.05576108772412139,1.5876602653574566e-7,,,,,,,10.0483889222534,0.000018575452154325274,,
0.05795657671656155,1.2821963771664144e-7,,,,,,,12.188601504524293,0.000019744882128159387,,
0.06023850899970242,5.797724517790933e-8,,,,,,,14.501922387930902,0.000019744882128159387,,
0.0626102881171432,3.3467341257829197e-8,,,,,,,17.590695822349822,0.00002163850602516403,,
0.06634419593926802,2.9620399322311668e-8,,,,,,,21.337349024289182,0.000022309243744089832,,
0.06763767634659998,5.454342734748114e-8,,,,,,,26.38661301683934,0.000023713737056616554,,
0.0689563751101192,3.450474227376281e-8,,,,,,,44.44252671383631,0.000026793552711303557,,
0.07030078389980778,3.148517130829965e-8,,,,,,,50.8743591733973,0.000031211754468334314,,
0.07306874635376069,3.6677011326441685e-8,,,,,,,56.03090961798611,0.00004366681489369927,,
0.07449333203844388,5.2903554007931516e-8,,,,,,,64.13984153223512,0.00010265110680046623,,
0.07594569217491771,4.4049338809543184e-8,,,,,,,72.01821417095451,0.0003480700588428406,,
0.0789359123804169,6.162724129903144e-8,,,,,,,80.86429664418145,0.0036517412725483697,,
0.08204386693820538,3.246113018266738e-8,,,,,,,80.86429664418145,0.00999999999999998,,
0.08527419141916295,3.7813903812711585e-8,,,,,,,,,,
0.08693674070912248,2.8729848333536744e-8,,,,,,,,,,
0.08693674070912248,3.246113018266738e-8,,,,,,,,,,
0.08863170391114075,3.3467341257829197e-8,,,,,,,,,,
0.09035971298344082,2.9620399322311668e-8,,,,,,,,,,
0.09212141220522678,3.246113018266738e-8,,,,,,,,,,
0.09391745841689972,2.7028265839051677e-8,,,,,,,,,,
0.09574852126495778,3.89860370254908e-8,,,,,,,,,,
0.09951844098961728,2.7028265839051677e-8,,,,,,,,,,
0.10343679428319895,4.8273870517334085e-8,,,,,,,,,,
0.10343679428319895,2.1828060634949696e-8,,,,,,,,,,
0.10750942544107046,3.3467341257829197e-8,,,,,,,,,,
0.1096054842363092,1.8738174228603907e-8,,,,,,,,,,
0.11174240886684621,2.8729848333536744e-8,,,,,,,,,,
0.11392099607392694,1.9917848479104074e-8,,,,,,,,,,
0.11614205813247162,3.3467341257829197e-8,,,,,,,,,,
0.11840642315392859,2.5427462957181593e-8,,,,,,,,,,
0.11840642315392859,4.682249430010601e-8,,,,,,,,,,
0.12071493539503057,3.246113018266738e-8,,,,,,,,,,
0.12306845557257186,6.963106381147567e-8,,,,,,,,,,
0.12546786118432188,4.977023564332124e-8,,,,,,,,,,
0.12791404683619612,8.621961129882485e-8,,,,,,,,,,
0.12791404683619612,6.550702535925492e-8,,,,,,,,,,
0.13040792457580452,4.482446879289317e-7,,,,,,,,,,
0.1329504242325046,0.00999999999999998,,,,,,,,,,
