Charm,,PS191,,E949,,KEK,,NuTeV,
X,Y,X,Y,X,Y,X,Y,X,Y
0.2140287440550329,0.00970101834380363,0.2660067786288726,0.01,0.17220727801709748,0.01,0.044032852860530734,0.01,0.26080085622394134,0.01
0.2140287440550329,0.000005891756927034016,0.2713166179782438,5.3094199945081705e-9,0.17220727801709748,7.91234261898136e-8,0.04491180555485336,0.0006509675230458177,0.26080085622394134,0.0037857717454415707
0.2140287440550329,0.000005891756927034016,0.2822563861828103,4.702365518874781e-9,0.1791508545613011,6.206456147134182e-8,0.04765534171046136,0.0003047842123513458,1.6069730140046425,0.00004110891077848684
0.2660067786288726,9.249147277217354e-7,0.2878905887158814,4.164718838587755e-9,0.1863744033330455,1.2803969553555465e-8,0.052605365561762915,0.00009913648619472849,1.9198257064414803,0.000030346543234185713
0.311574733164265,2.4325626270869845e-7,0.3054770168107529,3.4712799687253317e-9,0.190094677476563,1.5361749466718358e-8,0.06801708660714093,0.00002380388449664137,2.0371024708248395,0.000030346543234185713
0.3508038715426497,9.209126862643045e-8,0.311574733164265,3.0743899047690244e-9,0.190094677476563,1.2049784621273617e-8,0.07810950087815846,0.0000108118075107661,2.1615433436051674,0.000033239711863405074
0.35780637054147313,8.666686903673543e-8,0.33060795917353825,2.6414693416318647e-9,0.19775949256976227,1.24211543512545e-8,0.13855777518571386,0.0000017495963060883456,2.2486990192116636,0.00004641588833612792
0.37223349551822155,8.666686903673543e-8,0.3508038715426497,2.6414693416318647e-9,0.2017070278196955,2.422037098419727e-8,0.19388921310371476,7.038135554931576e-7,2.2486990192116636,0.00011193456567228401
0.37966375752825215,9.209126862643045e-8,0.35780637054147313,2.8933008657457872e-9,0.20984006495550536,2.49668335073994e-8,0.24578645169378066,5.195542301197706e-7,1.997235075532617,0.0005765389133736335
0.37966375752825215,1.0397984184814943e-7,0.35780637054147313,0.01,0.22265860560396428,3.5782634829698565e-9,0.2767324485886706,5.195542301197706e-7,1.8454165902982758,0.0014332067708583717
0.3872423371781578,9.828042895037592e-7,,,0.23163643214555324,1.632322723129463e-8,0.2994986366574207,6.047059698498982e-7,1.5446895258541995,0.006537964546628194
0.39497219507986114,9.828042895037592e-7,,,0.24097625399018624,1.3605358226813488e-8,0.324137750441334,0.0000012529346992242862,1.4557611620808755,0.01
0.5106866516993974,5.355666917706907e-7,,,0.2556968170425351,2.0100252199891533e-9,0.324137750441334,0.000045028138419271694,,
0.5418830660010325,4.601508073250595e-7,,,0.2660067786288726,1.0352992833143138e-8,0.324137750441334,0.01,,
0.6222879857253857,3.720672710502117e-7,,,0.2822563861828103,1.2748567671157905e-9,,,,
0.8206596678933189,2.3598334667822033e-7,,,0.2936372572186791,1.6826302819766164e-8,,,,
0.9059026812485538,1.9081066123140907e-7,,,0.2936372572186791,0.01,,,,
1.0403210399941065,1.2859612197790175e-7,,,,,,,,
1.3719524380481183,7.007682033726169e-8,,,,,,,,
1.4848200377288825,6.206456147134182e-8,,,,,,,,
1.5755235266613214,6.206456147134182e-8,,,,,,,,
1.671767837171772,7.223656100188918e-8,,,,,,,,
1.7738914425000307,8.666686903673543e-8,,,,,,,,
1.8454165902982758,1.1389303737044404e-7,,,,,,,,
1.8454165902982758,2.5075332721546135e-7,,,,,,,,
1.8454165902982758,0.01,,,,,,,,
